description_arm,code,description_eng,abb_code,date,sna_info,value,quarter,year,USD_AMD,value_usd,value_yoy,value_usd_yoy
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2018-09-30,SNA 2008,1318312.1,3,2018,482.5387692307692,2732.0335360857416,4699003.9,9733.372697997627
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2018-12-31,SNA 2008,1455583.4,4,2018,485.70969696969695,2996.8176651223266,4765238.1,9854.376159910527
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2019-03-31,SNA 2008,1073748.5,1,2019,486.6484375,2206.4151803631344,4943780.8,10202.043000544149
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2019-06-30,SNA 2008,1246358.8,2,2019,479.89784615384616,2597.1335566287185,5094002.8,10532.39993819992
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2019-09-30,SNA 2008,1457945.7,3,2019,475.18439393939394,3068.168312332979,5233636.4,10868.53471444716
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2019-12-31,SNA 2008,1638743.7,4,2019,475.6837878787879,3445.0274357838302,5416796.7,11316.744485108662
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2020-03-31,SNA 2008,1084253.2,1,2020,480.4115384615384,2256.9258088017486,5427301.4,11367.255113547277
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2020-06-30,SNA 2008,1017412.6,2,2020,483.2713846153846,2105.2614170601387,5198355.199999999,10875.382973978698
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2020-09-30,SNA 2008,1274882.1,3,2020,484.37666666666667,2632.0056017011557,5015291.6,10439.220263346871
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2020-12-31,SNA 2008,1245120.6,4,2020,500.8028787878788,2486.248887014458,4621668.5,9480.4417145775
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2021-03-31,SNA 2008,1042673.9,1,2021,522.54765625,1995.366140349041,4580089.2,9218.882046124794
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2021-06-30,SNA 2008,1180678,2,2021,518.8441538461539,2275.5927598831368,4743354.6,9389.213388947792
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2021-09-30,SNA 2008,1284049.3,3,2021,489.9818181818182,2620.606015065494,4752521.8,9377.81380231213
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2021-12-31,SNA 2008,1437714.2,4,2021,481.31742424242424,2987.039586740307,4945115.4,9878.60450203798
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2022-03-31,SNA 2008,1173591.9,1,2022,486.89070646666664,2410.3805729147675,5076033.4,10293.618934603706
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2022-06-30,SNA 2008,1361762.8,2,2022,453.17880192307695,3004.9128384234245,5257118.2,11022.939013143994
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2022-09-30,SNA 2008,1548765.9,3,2022,407.2822706630435,3802.684309038679,5521834.799999999,12205.017307117178
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2022-12-31,SNA 2008,1546300.5,4,2022,397.96744542391303,3885.4949513593706,5630421.1,13103.472671736245
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2023-03-31,SNA 2008,1325637.7,1,2023,392.3491623888889,3378.719332363589,5782466.9,14071.811431185064
Տնային տնտեսությունների,NA,Household final consumption expenditure,C,2023-06-30,SNA 2008,1566185.7,2,2023,386.818423,4048.891177036829,5986889.8,15115.789769798468
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2000-03-31,SNA 1993,320.7,1,2000,NA,NA,NA,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2000-06-30,SNA 1993,773.5,2,2000,NA,NA,NA,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2000-09-30,SNA 1993,1178.9,3,2000,NA,NA,NA,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2000-12-31,SNA 1993,1789.6,4,2000,NA,NA,4062.7,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2001-03-31,SNA 1993,193.9,1,2001,NA,NA,3935.9,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2001-06-30,SNA 1993,461.9,2,2001,NA,NA,3624.3,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2001-09-30,SNA 1993,898,3,2001,NA,NA,3343.4,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2001-12-31,SNA 1993,1020.3,4,2001,NA,NA,2574.1,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2002-03-31,SNA 1993,413.7,1,2002,NA,NA,2793.8999999999996,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2002-06-30,SNA 1993,1000.3,2,2002,NA,NA,3332.3,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2002-09-30,SNA 1993,2212.5,3,2002,NA,NA,4646.8,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2002-12-31,SNA 1993,2973.1,4,2002,NA,NA,6599.6,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2003-03-31,SNA 1993,348,1,2003,NA,NA,6533.9,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2003-06-30,SNA 1993,687.5,2,2003,NA,NA,6221.1,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2003-09-30,SNA 1993,857.1,3,2003,NA,NA,4865.7,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2003-12-31,SNA 1993,1383.2,4,2003,NA,NA,3275.8,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2004-03-31,SNA 1993,347.6,1,2004,NA,NA,3275.4,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2004-06-30,SNA 1993,658.4,2,2004,NA,NA,3246.3,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2004-09-30,SNA 1993,835.9,3,2004,NA,NA,3225.1000000000004,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2004-12-31,SNA 1993,1399.6,4,2004,482.9347826086956,2.898113887013279,3241.5,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2005-03-31,SNA 1993,395,1,2005,475.8203125,0.8301453082669732,3288.8999999999996,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2005-06-30,SNA 1993,753.1,2,2005,450.4923076923077,1.6717266580151628,3383.6,NA
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2005-09-30,SNA 1993,957.2,3,2005,453.2583333333333,2.111819970215661,3504.8999999999996,7.511805823511077
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2005-12-31,SNA 1993,942.9,4,2005,452.29846153846154,2.0846854017428926,3048.2000000000003,6.6983773382406895
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2006-03-31,SNA 1993,308,1,2006,451.4187692307692,0.6822932961445999,2961.2000000000003,6.550525326118317
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2006-06-30,SNA 1993,655.3,2,2006,436.1709230769231,1.5023926752779695,2863.3999999999996,6.381191343381122
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2006-09-30,SNA 1993,855.5,3,2006,401.02215384615386,2.1332986015735176,2761.7,6.402669974738981
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2006-12-31,SNA 1993,824.2,4,2006,373.5910769230769,2.2061554756290507,2643,6.524140048625138
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2007-03-31,SNA 1993,415.6,1,2007,359.4236923076923,1.1562955055400654,2750.6,6.998142258020604
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2007-06-30,SNA 1993,899.8,2,2007,353.1206153846154,2.548137833923819,2995.1000000000004,8.043887416666452
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2007-09-30,SNA 1993,1194.2,3,2007,337.5812307692308,3.5375189470067148,3333.8,9.44810776209965
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2007-12-31,SNA 1993,1005.9,4,2007,316.85318181818184,3.1746564583252637,3515.5000000000005,10.416608744795862
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2008-03-31,SNA 1993,621.1,1,2008,307.58353846153847,2.0192888185973743,3721,11.279602057853172
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2008-06-30,SNA 1993,956.3,2,2008,307.10615384615386,3.1139069928213243,3777.5,11.845371216750676
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2008-09-30,SNA 1993,1522.9,3,2008,302.1589393939394,5.040062700294698,4106.200000000001,13.34791497003866
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2008-12-31,SNA 1993,1248.8,4,2008,306.21378787878785,4.078196506599915,4349.1,14.251455018313312
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2009-03-31,SNA 1993,860.3,1,2009,326.3721875,2.6359476479594326,4588.3,14.868113847675373
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2009-06-30,SNA 1993,1638.2,2,2009,371.06738461538464,4.4148315586884905,5270.2,16.169038413542538
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2009-09-30,SNA 1993,2179.7,3,2009,372.92015151515153,5.844950966430785,5927,16.973926679678623
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2009-12-31,SNA 1993,1941.2,4,2009,384.27666666666664,5.051568748210925,6619.4,17.947298921289633
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2010-03-31,SNA 1993,1057.7,1,2010,384.50203125,2.75083072139167,6816.799999999999,18.06218199472187
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2010-06-30,SNA 1993,1958.9,2,2010,383.7153846153846,5.10508590100836,7137.5,18.75243633704174
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2010-09-30,SNA 1993,2557.3,3,2010,365.6118181818182,6.994576960661208,7515.1,19.902062331272163
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2010-12-31,SNA 1993,2399.5,4,2010,359.4166666666667,6.676095525156503,7973.4,21.526589108217745
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2011-03-31,SNA 1993,1028,1,2011,364.49921875,2.820307828163212,7943.700000000001,21.59606621498928
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2011-06-30,SNA 1993,3061.6,2,2011,373.63092307692307,8.194182576718037,9046.4,24.68516289069896
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2011-09-30,SNA 1993,5188.3,3,2011,371.8333333333333,13.953294486777231,11677.4,31.643880416814984
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2011-12-31,SNA 1993,7221.8,4,2011,380.833076923077,18.963163752340517,16499.7,43.930948643999
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2012-03-31,SNA 1993,1572.7,1,2012,388.402,4.049155256667062,17044.4,45.15979607250284
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2012-06-30,SNA 1993,3895.7,2,2012,401.5170769230769,9.702451586502116,17878.5,46.66806508228692
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2012-09-30,SNA 1993,6218.6,3,2012,411.13461538461536,15.125459563122693,18908.800000000003,47.84023015863238
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2012-12-31,SNA 1993,6697.5,4,2012,406.4506060606061,16.478017009036844,18384.5,45.355083415328714
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2013-03-31,SNA 2008,3474.2,1,2013,409.29359375,8.488283357110326,20286,49.794211515771984
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2013-06-30,SNA 2008,4539,2,2013,414.35,10.954507059249426,20929.3,51.04626698851929
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2013-09-30,SNA 2008,5496.4,3,2013,408.42560606060607,13.457530376252638,20207.1,49.37833780164924
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2013-12-31,SNA 2008,6464.2,4,2013,404.0480303030303,15.998593026556623,19973.8,48.89891381916901
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2014-03-31,SNA 2008,3397.6,1,2014,408.91578125,8.308801361527301,19897.199999999997,48.71943182358599
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2014-06-30,SNA 2008,4316,2,2014,413.02861538461536,10.449639175680137,19674.199999999997,48.2145639400167
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2014-09-30,SNA 2008,5805.1,3,2014,408.3884848484848,14.214651527585886,19982.9,48.97168509134995
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2014-12-31,SNA 2008,6987.1,4,2014,430.96363636363634,16.212736784373288,20505.800000000003,49.18582884916661
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2015-03-31,SNA 2008,4576.9,1,2015,476.72890625,9.600634532532082,21685.1,50.477662020171394
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2015-06-30,SNA 2008,5469.2,2,2015,476.5458461538461,11.476755162470443,22838.3,51.5047780069617
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2015-09-30,SNA 2008,5916.2,3,2015,479.005,12.351019300424838,22949.4,49.64114577980065
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2015-12-31,SNA 2008,6139.4,4,2015,477.9307575757576,12.845793878471682,22101.699999999997,46.27420287389904
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2016-03-31,SNA 2008,4527.9,1,2016,487.54242424242426,9.287191790613404,22052.699999999997,45.96076013198037
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2016-06-30,SNA 2008,5885.9,2,2016,478.514,12.300371566976096,22469.4,46.78437653648602
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2016-09-30,SNA 2008,6607.1,3,2016,475.29621212121214,13.901015475198085,23160.299999999996,48.33437271125926
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2016-12-31,SNA 2008,7123.6,4,2016,478.71,14.880825552004346,24144.5,50.36940438479193
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2017-03-31,SNA 2008,6891.7,1,2017,485.5846153846154,14.192583087792668,26508.3,55.2747956819712
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2017-06-30,SNA 2008,9349.8,2,2017,483.3658461538462,19.343112622450647,29972.2,62.31753673744574
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2017-09-30,SNA 2008,11507.5,3,2017,478.6426153846154,24.041946183068337,34872.6,72.458467445316
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2017-12-31,SNA 2008,10339.1,4,2017,483.1150769230769,21.400905278818744,38088.1,78.97854717213039
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2018-03-31,SNA 2008,6234,1,2018,481.61753846153846,12.94388078123912,37430.4,77.72984486557684
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2018-06-30,SNA 2008,7374,2,2018,483.5663076923077,15.249201366386473,35454.6,73.63593360951268
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2018-09-30,SNA 2008,9024.8,3,2018,482.5387692307692,18.702745925237732,32971.899999999994,68.29673335168206
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2018-12-31,SNA 2008,13776.7,4,2018,485.70969696969695,28.364062084722015,36409.5,75.25989015758535
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2019-03-31,SNA 2008,6661.4,1,2019,486.6484375,13.688320945240886,36836.9,76.0043303215871
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2019-06-30,SNA 2008,6862.8,2,2019,479.89784615384616,14.300543448990426,36325.7,75.05567240419106
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2019-09-30,SNA 2008,12495.4,3,2019,475.18439393939394,26.295897254558597,39796.3,82.64882373351192
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2019-12-31,SNA 2008,16896.2,4,2019,475.6837878787879,35.51981469737504,42915.8,89.80457634616495
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2020-03-31,SNA 2008,5311.3,1,2020,480.4115384615384,11.055729462720263,41565.7,87.17198486364433
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2020-06-30,SNA 2008,6238.4,2,2020,483.2713846153846,12.90868898634435,40941.3,85.78013040099825
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2020-09-30,SNA 2008,12237.7,3,2020,484.37666666666667,25.264842099468048,40683.600000000006,84.7490752459077
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2020-12-31,SNA 2008,11147.7,4,2020,500.8028787878788,22.259656388121016,34935.100000000006,71.48891693665368
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2021-03-31,SNA 2008,5685.5,1,2021,522.54765625,10.880347336741115,35309.3,71.31353481067453
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2021-06-30,SNA 2008,9038.9,2,2021,518.8441538461539,17.4212235658729,38109.8,75.82606939020309
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2021-09-30,SNA 2008,9466.6,3,2021,489.9818181818182,19.32030873130729,35338.7,69.88153602204233
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2021-12-31,SNA 2008,11865.6,4,2021,481.31742424242424,24.65233835794749,36056.6,72.2742179918688
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2022-03-31,SNA 2008,5630.8,1,2022,486.89070646666664,11.564813058072806,36001.9,72.95868371320047
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2022-06-30,SNA 2008,9961.8,2,2022,453.17880192307695,21.982052023896134,36924.8,77.51951217122372
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2022-09-30,SNA 2008,9234.8,3,2022,407.2822706630435,22.67420083119753,36693,80.87340427111397
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2022-12-31,SNA 2008,10596.4,4,2022,397.96744542391303,26.62629851221314,35423.799999999996,82.84736442537961
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2023-03-31,SNA 2008,9106.3,1,2023,392.3491623888889,23.209683804483344,38899.3,94.49223517179016
Տնային տնտես. սպասարկող ոչ առևտրային կազմակերպությունների,NA,Final consumption expenditure of Non-profit institutions serving households,I,2023-06-30,SNA 2008,10974.7,2,2023,386.818423,28.371709689742467,39912.2,100.88189283763649
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2000-03-31,SNA 1993,15855.9,1,2000,NA,NA,NA,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2000-06-30,SNA 1993,24141,2,2000,NA,NA,NA,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2000-09-30,SNA 1993,33998.9,3,2000,NA,NA,NA,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2000-12-31,SNA 1993,47795.1,4,2000,NA,NA,121790.9,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2001-03-31,SNA 1993,19765.7,1,2001,NA,NA,125700.7,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2001-06-30,SNA 1993,37378.8,2,2001,NA,NA,138938.5,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2001-09-30,SNA 1993,39262.1,3,2001,NA,NA,144201.7,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2001-12-31,SNA 1993,36301.7,4,2001,NA,NA,132708.3,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2002-03-31,SNA 1993,21231.4,1,2002,NA,NA,134174,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2002-06-30,SNA 1993,33870,2,2002,NA,NA,130665.19999999998,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2002-09-30,SNA 1993,36948.5,3,2002,NA,NA,128351.6,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2002-12-31,SNA 1993,44020.7,4,2002,NA,NA,136070.59999999998,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2003-03-31,SNA 1993,27585.2,1,2003,NA,NA,142424.4,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2003-06-30,SNA 1993,43572.6,2,2003,NA,NA,152127,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2003-09-30,SNA 1993,45750.8,3,2003,NA,NA,160929.3,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2003-12-31,SNA 1993,48922.7,4,2003,NA,NA,165831.3,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2004-03-31,SNA 1993,32186.9,1,2004,NA,NA,170432.99999999997,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2004-06-30,SNA 1993,49713.4,2,2004,NA,NA,176573.8,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2004-09-30,SNA 1993,54713.5,3,2004,NA,NA,185536.5,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2004-12-31,SNA 1993,57480.8,4,2004,482.9347826086956,119.02393878010356,194094.6,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2005-03-31,SNA 1993,38426,1,2005,475.8203125,80.75737624168788,200333.7,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2005-06-30,SNA 1993,63005.8,2,2005,450.4923076923077,139.85987978963186,213626.1,NA
"Պետական հիմնարկների, որոնք բավարարում են",NA,Government final consumption expenditure,G,2005-09-30,SNA 1993,64919.7,3,2005,453.2583333333333,143.22891654869372,223832.3,482.870111360117
