country,indicator_group,indicator,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Kyrgyzstan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",19.5,17,25,1172,83,2024-08-01
Laos,Salaries And Financing,Average Monthly Net Salary (After Tax),451.2,NA,NA,248,21,2024-05-01
Laos,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.12,10,10.25,248,21,2024-05-01
Latvia,Salaries And Financing,Average Monthly Net Salary (After Tax),1184,NA,NA,2444,258,2024-08-01
Latvia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.23,2.4899999999999998,6,2444,258,2024-08-01
Lebanon,Salaries And Financing,Average Monthly Net Salary (After Tax),436.84000000000003,NA,NA,1033,84,2024-08-01
Lebanon,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.67,6,13,1033,84,2024-08-01
Lesotho,Salaries And Financing,Average Monthly Net Salary (After Tax),667.9399999999999,NA,NA,161,11,2024-06-01
Lesotho,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.75,8.5,9,161,11,2024-06-01
Liberia,Salaries And Financing,Average Monthly Net Salary (After Tax),733.3299999999999,NA,NA,131,9,2024-07-01
Liberia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5,NA,NA,131,9,2024-07-01
Libya,Salaries And Financing,Average Monthly Net Salary (After Tax),320.39,NA,NA,897,53,2024-07-01
Libya,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14.950000000000001,7.2,25,897,53,2024-07-01
Liechtenstein,Salaries And Financing,Average Monthly Net Salary (After Tax),6545.89,NA,NA,154,17,2024-05-01
Liechtenstein,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.58,4,10,154,17,2024-05-01
Lithuania,Salaries And Financing,Average Monthly Net Salary (After Tax),1365.93,NA,NA,3138,380,2024-08-01
Lithuania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.23,2.5,6,3138,380,2024-08-01
Luxembourg,Salaries And Financing,Average Monthly Net Salary (After Tax),5743.1900000000005,NA,NA,1395,244,2024-08-01
Luxembourg,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.65,1.52,4,1395,244,2024-08-01
Macao (China),Salaries And Financing,Average Monthly Net Salary (After Tax),2556.18,NA,NA,266,45,2024-08-01
Macao (China),Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.21,1.8,4.5,266,45,2024-08-01
Madagascar,Salaries And Financing,Average Monthly Net Salary (After Tax),131.46,NA,NA,560,33,2024-08-01
Madagascar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.25,7,24,560,33,2024-08-01
Malawi,Salaries And Financing,Average Monthly Net Salary (After Tax),338.13,NA,NA,165,22,2024-04-01
Malaysia,Salaries And Financing,Average Monthly Net Salary (After Tax),930.47,NA,NA,5286,677,2024-08-01
Malaysia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.109999999999999,3,5,5286,677,2024-08-01
Maldives,Salaries And Financing,Average Monthly Net Salary (After Tax),1000.25,NA,NA,284,37,2024-08-01
Maldives,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.5,10,18,284,37,2024-08-01
Mali,Salaries And Financing,Average Monthly Net Salary (After Tax),261.83,NA,NA,44,8,2024-05-01
Malta,Salaries And Financing,Average Monthly Net Salary (After Tax),1577.8799999999999,NA,NA,2131,278,2024-08-01
Malta,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.7700000000000005,3,5.430000000000001,2131,278,2024-08-01
Marshall Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),1750,NA,NA,27,4,2024-03-01
Martinique,Salaries And Financing,Average Monthly Net Salary (After Tax),2172.69,NA,NA,25,6,2024-06-01
Martinique,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.45,NA,NA,25,6,2024-06-01
Mauritania,Salaries And Financing,Average Monthly Net Salary (After Tax),677.03,NA,NA,172,12,2024-04-01
Mauritania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13,NA,NA,172,12,2024-04-01
Mauritius,Salaries And Financing,Average Monthly Net Salary (After Tax),616.38,NA,NA,788,77,2024-07-01
Mauritius,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.04,4,7.5,788,77,2024-07-01
Mexico,Salaries And Financing,Average Monthly Net Salary (After Tax),693.2900000000001,NA,NA,14468,1238,2024-08-01
Mexico,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.44,10,12.5,14468,1238,2024-08-01
Micronesia,Salaries And Financing,Average Monthly Net Salary (After Tax),328,NA,NA,132,10,2024-07-01
Micronesia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",386666.67,360000,400000,132,10,2024-07-01
Moldova,Salaries And Financing,Average Monthly Net Salary (After Tax),581.7800000000001,NA,NA,1424,124,2024-08-01
Moldova,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.32,8,16.5,1424,124,2024-08-01
Monaco,Salaries And Financing,Average Monthly Net Salary (After Tax),7779.72,NA,NA,194,20,2024-05-01
Monaco,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.92,2,4,194,20,2024-05-01
Mongolia,Salaries And Financing,Average Monthly Net Salary (After Tax),368.54,NA,NA,549,71,2024-07-01
Mongolia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.25,6,9,549,71,2024-07-01
Montenegro,Salaries And Financing,Average Monthly Net Salary (After Tax),862.52,NA,NA,3105,297,2024-08-01
Montenegro,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.87,5,7,3105,297,2024-08-01
Morocco,Salaries And Financing,Average Monthly Net Salary (After Tax),414.16,NA,NA,4871,482,2024-07-01
Morocco,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.819999999999999,3,6,4871,482,2024-07-01
Mozambique,Salaries And Financing,Average Monthly Net Salary (After Tax),279.1,NA,NA,233,28,2024-08-01
Mozambique,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",21.67,15,28,233,28,2024-08-01
Myanmar,Salaries And Financing,Average Monthly Net Salary (After Tax),325.86,NA,NA,211,29,2024-08-01
Myanmar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.5,5,13,211,29,2024-08-01
Namibia,Salaries And Financing,Average Monthly Net Salary (After Tax),775.55,NA,NA,398,47,2024-07-01
Namibia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.52,9,12,398,47,2024-07-01
Nauru,Salaries And Financing,Average Monthly Net Salary (After Tax),589.99,NA,NA,13,1,2023-07-01
Nepal,Salaries And Financing,Average Monthly Net Salary (After Tax),216.34,NA,NA,2259,188,2024-08-01
Nepal,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.3,10.5,16,2259,188,2024-08-01
Netherlands,Salaries And Financing,Average Monthly Net Salary (After Tax),3645.8300000000004,NA,NA,16863,1780,2024-08-01
Netherlands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.119999999999999,2,4.6,16863,1780,2024-08-01
New Caledonia,Salaries And Financing,Average Monthly Net Salary (After Tax),2920.01,NA,NA,90,13,2024-07-01
New Caledonia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.5,2,3,90,13,2024-07-01
New Zealand,Salaries And Financing,Average Monthly Net Salary (After Tax),3049.36,NA,NA,6799,693,2024-08-01
New Zealand,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.87,6,7.5,6799,693,2024-08-01
Nicaragua,Salaries And Financing,Average Monthly Net Salary (After Tax),289.62,NA,NA,201,22,2024-08-01
Nicaragua,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11,9,12,201,22,2024-08-01
Niger,Salaries And Financing,Average Monthly Net Salary (After Tax),303.45,NA,NA,55,6,2023-06-01
Niger,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11,8,12,55,6,2023-06-01
Nigeria,Salaries And Financing,Average Monthly Net Salary (After Tax),162.17,NA,NA,1233,188,2024-08-01
Nigeria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",18.419999999999998,10,22.5,1233,188,2024-08-01
Norfolk Island,Salaries And Financing,Average Monthly Net Salary (After Tax),1835.52,NA,NA,1,1,2023-08-01
North Korea,Salaries And Financing,Average Monthly Net Salary (After Tax),247.7,NA,NA,129,11,2024-06-01
North Korea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.2,7.109999999999999,7.29,129,11,2024-06-01
North Macedonia,Salaries And Financing,Average Monthly Net Salary (After Tax),618.04,NA,NA,3181,268,2024-08-01
North Macedonia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.05,3.5,7.2,3181,268,2024-08-01
Northern Mariana Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),1010,NA,NA,46,5,2024-04-01
Norway,Salaries And Financing,Average Monthly Net Salary (After Tax),3330.09,NA,NA,5859,714,2024-08-01
Norway,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.24,3,5.6499999999999995,5859,714,2024-08-01
Oman,Salaries And Financing,Average Monthly Net Salary (After Tax),2283.59,NA,NA,1524,152,2024-08-01
Oman,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.6499999999999995,3,6.3,1524,152,2024-08-01
Pakistan,Salaries And Financing,Average Monthly Net Salary (After Tax),183.09,NA,NA,8451,726,2024-08-01
Pakistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",20.27,12,25,8451,726,2024-08-01
Palau,Salaries And Financing,Average Monthly Net Salary (After Tax),1000,NA,NA,84,5,2024-02-01
Palestine,Salaries And Financing,Average Monthly Net Salary (After Tax),632.26,NA,NA,955,60,2024-07-01
Palestine,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.24,4.5,16,955,60,2024-07-01
Panama,Salaries And Financing,Average Monthly Net Salary (After Tax),782.73,NA,NA,1308,136,2024-08-01
Panama,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.119999999999999,4,7,1308,136,2024-08-01
Papua New Guinea,Salaries And Financing,Average Monthly Net Salary (After Tax),409.67,NA,NA,204,18,2024-08-01
Papua New Guinea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",13.5,6.5,20,204,18,2024-08-01
Paraguay,Salaries And Financing,Average Monthly Net Salary (After Tax),346.94,NA,NA,724,67,2024-08-01
Paraguay,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.42,9,12,724,67,2024-08-01
Peru,Salaries And Financing,Average Monthly Net Salary (After Tax),414.88,NA,NA,1489,166,2024-08-01
Peru,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.49,7,15,1489,166,2024-08-01
Philippines,Salaries And Financing,Average Monthly Net Salary (After Tax),375.21999999999997,NA,NA,5290,727,2024-08-01
Philippines,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.159999999999999,5,11,5290,727,2024-08-01
Poland,Salaries And Financing,Average Monthly Net Salary (After Tax),1531.11,NA,NA,17162,1822,2024-08-01
Poland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.8,5.1499999999999995,8.8,17162,1822,2024-08-01
Portugal,Salaries And Financing,Average Monthly Net Salary (After Tax),1195.81,NA,NA,12019,1404,2024-08-01
Portugal,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.6,1.6800000000000002,5.430000000000001,12019,1404,2024-08-01
Puerto Rico,Salaries And Financing,Average Monthly Net Salary (After Tax),2463.29,NA,NA,708,110,2024-08-01
Puerto Rico,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.24,3.75,7.5,708,110,2024-08-01
Qatar,Salaries And Financing,Average Monthly Net Salary (After Tax),4206.92,NA,NA,2324,247,2024-08-01
Qatar,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.95,3,7,2324,247,2024-08-01
Reunion,Salaries And Financing,Average Monthly Net Salary (After Tax),1941.48,NA,NA,73,15,2024-05-01
Reunion,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4,NA,NA,73,15,2024-05-01
Romania,Salaries And Financing,Average Monthly Net Salary (After Tax),910.48,NA,NA,16199,1321,2024-08-01
Romania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.03,5.9,9.5,16199,1321,2024-08-01
Russia,Salaries And Financing,Average Monthly Net Salary (After Tax),589.43,NA,NA,33022,2370,2024-08-01
Russia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12.16,8,18,33022,2370,2024-08-01
Rwanda,Salaries And Financing,Average Monthly Net Salary (After Tax),270.56,NA,NA,453,50,2024-08-01
Rwanda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.43,15,18,453,50,2024-08-01
Saint Helena,Salaries And Financing,Average Monthly Net Salary (After Tax),828.75,NA,NA,15,1,2023-08-01
Saint Helena,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.2,5.4,7,15,1,2023-08-01
Saint Kitts And Nevis,Salaries And Financing,Average Monthly Net Salary (After Tax),1110.06,NA,NA,17,7,2024-04-01
Saint Lucia,Salaries And Financing,Average Monthly Net Salary (After Tax),897.3,NA,NA,169,11,2024-07-01
Saint Lucia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7,NA,NA,169,11,2024-07-01
Saint Vincent And The Grenadines,Salaries And Financing,Average Monthly Net Salary (After Tax),962.05,NA,NA,60,6,2023-12-01
Saint Vincent And The Grenadines,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",12,NA,NA,60,6,2023-12-01
Samoa,Salaries And Financing,Average Monthly Net Salary (After Tax),600,NA,NA,7,4,2024-05-01
San Marino,Salaries And Financing,Average Monthly Net Salary (After Tax),2873.7799999999997,NA,NA,34,6,2024-08-01
San Marino,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.8499999999999996,2.65,4,34,6,2024-08-01
Sao Tome And Principe,Salaries And Financing,Average Monthly Net Salary (After Tax),424.96999999999997,NA,NA,38,6,2024-05-01
Sao Tome And Principe,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7.38,NA,NA,38,6,2024-05-01
Saudi Arabia,Salaries And Financing,Average Monthly Net Salary (After Tax),2234.34,NA,NA,5512,556,2024-08-01
Saudi Arabia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.56,3,7,5512,556,2024-08-01
Senegal,Salaries And Financing,Average Monthly Net Salary (After Tax),379.13,NA,NA,175,38,2024-07-01
Senegal,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.19,6.5,9,175,38,2024-07-01
Serbia,Salaries And Financing,Average Monthly Net Salary (After Tax),747.31,NA,NA,7900,685,2024-08-01
Serbia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7,4,8,7900,685,2024-08-01
Seychelles,Salaries And Financing,Average Monthly Net Salary (After Tax),793.69,NA,NA,197,25,2024-07-01
Seychelles,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.67,10,23,197,25,2024-07-01
Sierra Leone,Salaries And Financing,Average Monthly Net Salary (After Tax),1675,NA,NA,17,7,2024-06-01
Singapore,Salaries And Financing,Average Monthly Net Salary (After Tax),4578.35,NA,NA,3077,449,2024-08-01
Singapore,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.58,2.7,4.85,3077,449,2024-08-01
Sint Maarten,Salaries And Financing,Average Monthly Net Salary (After Tax),1603.78,NA,NA,56,9,2024-05-01
Sint Maarten,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.119999999999999,5,7,56,9,2024-05-01
Slovakia,Salaries And Financing,Average Monthly Net Salary (After Tax),1252.33,NA,NA,4170,451,2024-08-01
Slovakia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.319999999999999,3,5,4170,451,2024-08-01
Slovenia,Salaries And Financing,Average Monthly Net Salary (After Tax),1645.71,NA,NA,2708,325,2024-08-01
Slovenia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.62,1.85,5,2708,325,2024-08-01
Solomon Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),350.96999999999997,NA,NA,163,10,2024-06-01
Solomon Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.330000000000002,10,20,163,10,2024-06-01
Somalia,Salaries And Financing,Average Monthly Net Salary (After Tax),353.33,NA,NA,197,29,2024-07-01
Somalia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.99,4,20,197,29,2024-07-01
South Africa,Salaries And Financing,Average Monthly Net Salary (After Tax),1376.95,NA,NA,10429,922,2024-08-01
South Africa,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.54,9.42,14,10429,922,2024-08-01
South Korea,Salaries And Financing,Average Monthly Net Salary (After Tax),2422.74,NA,NA,3373,402,2024-08-01
South Korea,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.6899999999999995,3.3,6.04,3373,402,2024-08-01
South Sudan,Salaries And Financing,Average Monthly Net Salary (After Tax),2023.33,NA,NA,2,1,2023-12-01
South Sudan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8.850000000000001,5.6899999999999995,12,2,1,2023-12-01
Spain,Salaries And Financing,Average Monthly Net Salary (After Tax),1934.87,NA,NA,17568,2109,2024-08-01
Spain,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.4699999999999998,2.08,4.1,17568,2109,2024-08-01
Sri Lanka,Salaries And Financing,Average Monthly Net Salary (After Tax),207.58,NA,NA,2786,309,2024-08-01
Sri Lanka,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.939999999999998,15,25,2786,309,2024-08-01
Sudan,Salaries And Financing,Average Monthly Net Salary (After Tax),197.42000000000002,NA,NA,51,9,2024-07-01
Sudan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",21.330000000000002,12,30,51,9,2024-07-01
Suriname,Salaries And Financing,Average Monthly Net Salary (After Tax),276.34000000000003,NA,NA,211,14,2024-05-01
Suriname,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.75,14.29,18,211,14,2024-05-01
Sweden,Salaries And Financing,Average Monthly Net Salary (After Tax),3054.13,NA,NA,8632,979,2024-08-01
Sweden,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.22,2.2,4.8,8632,979,2024-08-01
Switzerland,Salaries And Financing,Average Monthly Net Salary (After Tax),6993.03,NA,NA,8721,993,2024-08-01
Switzerland,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.53,2,3.25,8721,993,2024-08-01
Syria,Salaries And Financing,Average Monthly Net Salary (After Tax),42.220000000000006,NA,NA,504,44,2024-07-01
Syria,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",14,11,18,504,44,2024-07-01
Taiwan,Salaries And Financing,Average Monthly Net Salary (After Tax),1616.83,NA,NA,4048,482,2024-08-01
Taiwan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",1.92,1.4,2.7,4048,482,2024-08-01
Tajikistan,Salaries And Financing,Average Monthly Net Salary (After Tax),197.14,NA,NA,280,30,2024-07-01
Tajikistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",20.67,12,30,280,30,2024-07-01
Tanzania,Salaries And Financing,Average Monthly Net Salary (After Tax),215.85000000000002,NA,NA,752,77,2024-08-01
Tanzania,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.34,10,20,752,77,2024-08-01
Thailand,Salaries And Financing,Average Monthly Net Salary (After Tax),554.3199999999999,NA,NA,6311,727,2024-08-01
Thailand,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.619999999999999,3,8,6311,727,2024-08-01
Timor-Leste,Salaries And Financing,Average Monthly Net Salary (After Tax),5142,NA,NA,84,7,2024-06-01
Timor-Leste,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.37,NA,NA,84,7,2024-06-01
Togo,Salaries And Financing,Average Monthly Net Salary (After Tax),555.51,NA,NA,58,10,2024-07-01
Togo,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8,NA,NA,58,10,2024-07-01
Tonga,Salaries And Financing,Average Monthly Net Salary (After Tax),690.2900000000001,NA,NA,101,7,2024-06-01
Trinidad And Tobago,Salaries And Financing,Average Monthly Net Salary (After Tax),832.38,NA,NA,1167,93,2024-08-01
Trinidad And Tobago,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.95,4,8,1167,93,2024-08-01
Tunisia,Salaries And Financing,Average Monthly Net Salary (After Tax),311.31,NA,NA,3903,351,2024-08-01
Tunisia,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.67,8,18,3903,351,2024-08-01
Turkey,Salaries And Financing,Average Monthly Net Salary (After Tax),706.4599999999999,NA,NA,17502,1540,2024-08-01
Turkey,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",36.720000000000006,20,50,17502,1540,2024-08-01
Turkmenistan,Salaries And Financing,Average Monthly Net Salary (After Tax),664.2900000000001,NA,NA,188,20,2024-08-01
Turkmenistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9,5,10,188,20,2024-08-01
Turks And Caicos Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),5472.22,NA,NA,18,7,2024-02-01
Turks And Caicos Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",7,NA,NA,18,7,2024-02-01
Tuvalu,Salaries And Financing,Average Monthly Net Salary (After Tax),5345.41,NA,NA,5,3,2024-04-01
Tuvalu,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5,NA,NA,5,3,2024-04-01
Uganda,Salaries And Financing,Average Monthly Net Salary (After Tax),168.9,NA,NA,756,63,2024-08-01
Uganda,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",21.330000000000002,16,24,756,63,2024-08-01
Ukraine,Salaries And Financing,Average Monthly Net Salary (After Tax),380.68,NA,NA,9356,761,2024-08-01
Ukraine,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",17.87,11.5,25,9356,761,2024-08-01
United Arab Emirates,Salaries And Financing,Average Monthly Net Salary (After Tax),3446.72,NA,NA,6636,888,2024-08-01
United Arab Emirates,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.7,2.5,6.5,6636,888,2024-08-01
United Kingdom,Salaries And Financing,Average Monthly Net Salary (After Tax),3071.51,NA,NA,29638,4109,2024-08-01
United Kingdom,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.85,4.9,6,29638,4109,2024-08-01
United States,Salaries And Financing,Average Monthly Net Salary (After Tax),4413.22,NA,NA,117699,13561,2024-08-01
United States,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.64,6,8.76,117699,13561,2024-08-01
Uruguay,Salaries And Financing,Average Monthly Net Salary (After Tax),1090.21,NA,NA,2074,160,2024-08-01
Uruguay,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.78,4.2,15,2074,160,2024-08-01
Us Virgin Islands,Salaries And Financing,Average Monthly Net Salary (After Tax),2969.2599999999998,NA,NA,232,26,2024-08-01
Us Virgin Islands,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.79,3.9,9.9,232,26,2024-08-01
Uzbekistan,Salaries And Financing,Average Monthly Net Salary (After Tax),436.40999999999997,NA,NA,2254,194,2024-08-01
Uzbekistan,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",21.87,18,25,2254,194,2024-08-01
Vanuatu,Salaries And Financing,Average Monthly Net Salary (After Tax),442.74,NA,NA,119,16,2024-06-01
Vanuatu,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",8,7,10,119,16,2024-06-01
Venezuela,Salaries And Financing,Average Monthly Net Salary (After Tax),187.70999999999998,NA,NA,1102,102,2024-08-01
Venezuela,Salaries And Financing,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",23.89,10,43.2,1102,102,2024-08-01
Vietnam,Salaries And Financing,Average Monthly Net Salary (After Tax),455.65000000000003,NA,NA,4012,393,2024-08-01
