"date","year","months","hh","indicator","value","info"
"2013-01-01",2013,"jan","1.2","Սոցիալական վճար",8307.28776,NA
"2013-01-01",2013,"jan","1.3","Պետական տուրք",1855.9960700000008,NA
"2013-02-01",2013,"feb","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",76245.84956999998,NA
"2013-02-01",2013,"feb","1.1","Հարկային եկամուտներ",72966.92498999998,NA
"2013-02-01",2013,"feb","1.1.1","ԱԱՀ",32845.393330000006,NA
"2013-02-01",2013,"feb","1.1.2","Շահութահարկ",6859.75795,NA
"2013-02-01",2013,"feb","1.1.3","Եկամտահարկ",728.5494600000001,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-02-01",2013,"feb","1.1.4","Եկամտային հարկ",20477.96704,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-02-01",2013,"feb","1.1.5","Ակցիզային հարկ",2193.61532,NA
"2013-02-01",2013,"feb","1.1.6","Արտոնագրային հարկ",412.6534999999999,NA
"2013-02-01",2013,"feb","1.1.7","Շրջանառության հարկ",680.6798299999999,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-02-01",2013,"feb","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",706.4,NA
"2013-02-01",2013,"feb","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",893.71117,NA
"2013-02-01",2013,"feb","1.1.10","Մաքսատուրք",3897.41338,NA
"2013-02-01",2013,"feb","1.1.11","Այլ հարկային եկամուտներ",3270.7840099999885,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-02-01",2013,"feb","1.2","Սոցիալական վճար",1605.0049800000002,NA
"2013-02-01",2013,"feb","1.3","Պետական տուրք",1673.9196000000002,NA
"2013-03-01",2013,"mar","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",72280.00328,NA
"2013-03-01",2013,"mar","1.1","Հարկային եկամուտներ",69935.83526,NA
"2013-03-01",2013,"mar","1.1.1","ԱԱՀ",28919.862160000004,NA
"2013-03-01",2013,"mar","1.1.2","Շահութահարկ",10469.97797,NA
"2013-03-01",2013,"mar","1.1.3","Եկամտահարկ",495.89181,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-03-01",2013,"mar","1.1.4","Եկամտային հարկ",19513.995,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-03-01",2013,"mar","1.1.5","Ակցիզային հարկ",1916.04771,NA
"2013-03-01",2013,"mar","1.1.6","Արտոնագրային հարկ",650.92312,NA
"2013-03-01",2013,"mar","1.1.7","Շրջանառության հարկ",767.735,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-03-01",2013,"mar","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1334.40884,NA
"2013-03-01",2013,"mar","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",927.1983899999998,NA
"2013-03-01",2013,"mar","1.1.10","Մաքսատուրք",3136.60666,NA
"2013-03-01",2013,"mar","1.1.11","Այլ հարկային եկամուտներ",1803.1886000000088,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-03-01",2013,"mar","1.2","Սոցիալական վճար",481.55288,NA
"2013-03-01",2013,"mar","1.3","Պետական տուրք",1862.61514,NA
"2013-04-01",2013,"apr","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",88677.13563999998,NA
"2013-04-01",2013,"apr","1.1","Հարկային եկամուտներ",85232.40384999999,NA
"2013-04-01",2013,"apr","1.1.1","ԱԱՀ",31923.28568,NA
"2013-04-01",2013,"apr","1.1.2","Շահութահարկ",19229.28127,NA
"2013-04-01",2013,"apr","1.1.3","Եկամտահարկ",-36.090149999999966,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-04-01",2013,"apr","1.1.4","Եկամտային հարկ",20331.24299,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-04-01",2013,"apr","1.1.5","Ակցիզային հարկ",2511.42911,NA
"2013-04-01",2013,"apr","1.1.6","Արտոնագրային հարկ",482.24423999999993,NA
"2013-04-01",2013,"apr","1.1.7","Շրջանառության հարկ",1290.20898,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-04-01",2013,"apr","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1327.32273,NA
"2013-04-01",2013,"apr","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",970.48232,NA
"2013-04-01",2013,"apr","1.1.10","Մաքսատուրք",4204.57528,NA
"2013-04-01",2013,"apr","1.1.11","Այլ հարկային եկամուտներ",2998.421399999992,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-04-01",2013,"apr","1.2","Սոցիալական վճար",1272.92016,NA
"2013-04-01",2013,"apr","1.3","Պետական տուրք",2171.8116299999997,NA
"2013-05-01",2013,"may","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",80360.67792,NA
"2013-05-01",2013,"may","1.1","Հարկային եկամուտներ",77482.14027,NA
"2013-05-01",2013,"may","1.1.1","ԱԱՀ",29529.10751,NA
"2013-05-01",2013,"may","1.1.2","Շահութահարկ",9606.80721,NA
"2013-05-01",2013,"may","1.1.3","Եկամտահարկ",-65.18760999999999,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-05-01",2013,"may","1.1.4","Եկամտային հարկ",22898.92511,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-05-01",2013,"may","1.1.5","Ակցիզային հարկ",2445.28085,NA
"2013-05-01",2013,"may","1.1.6","Արտոնագրային հարկ",582.71815,NA
"2013-05-01",2013,"may","1.1.7","Շրջանառության հարկ",1024.36474,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-05-01",2013,"may","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",2033.24805,NA
"2013-05-01",2013,"may","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1061.2065299999997,NA
"2013-05-01",2013,"may","1.1.10","Մաքսատուրք",3641.50907,NA
"2013-05-01",2013,"may","1.1.11","Այլ հարկային եկամուտներ",4724.160660000009,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-05-01",2013,"may","1.2","Սոցիալական վճար",749.90519,NA
"2013-05-01",2013,"may","1.3","Պետական տուրք",2128.6324600000003,NA
"2013-06-01",2013,"jun","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",90129.79981,NA
"2013-06-01",2013,"jun","1.1","Հարկային եկամուտներ",86519.35428,NA
"2013-06-01",2013,"jun","1.1.1","ԱԱՀ",34032.603650000005,NA
"2013-06-01",2013,"jun","1.1.2","Շահութահարկ",14116.4508,NA
"2013-06-01",2013,"jun","1.1.3","Եկամտահարկ",-227.62593,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-06-01",2013,"jun","1.1.4","Եկամտային հարկ",21475.518419999997,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-06-01",2013,"jun","1.1.5","Ակցիզային հարկ",2490.57089,NA
"2013-06-01",2013,"jun","1.1.6","Արտոնագրային հարկ",767.76407,NA
"2013-06-01",2013,"jun","1.1.7","Շրջանառության հարկ",1065.15797,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-06-01",2013,"jun","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",1703.70437,NA
"2013-06-01",2013,"jun","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1044.8966899999998,NA
"2013-06-01",2013,"jun","1.1.10","Մաքսատուրք",4947.62943,NA
"2013-06-01",2013,"jun","1.1.11","Այլ հարկային եկամուտներ",5102.683919999996,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-06-01",2013,"jun","1.2","Սոցիալական վճար",1439.71453,NA
"2013-06-01",2013,"jun","1.3","Պետական տուրք",2170.731,NA
"2013-07-01",2013,"jul","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",90465.04716,NA
"2013-07-01",2013,"jul","1.1","Հարկային եկամուտներ",87078.23817999999,NA
"2013-07-01",2013,"jul","1.1.1","ԱԱՀ",38365.4244,NA
"2013-07-01",2013,"jul","1.1.2","Շահութահարկ",9093.424319999998,NA
"2013-07-01",2013,"jul","1.1.3","Եկամտահարկ",-44.298100000000005,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-07-01",2013,"jul","1.1.4","Եկամտային հարկ",23546.54589,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-07-01",2013,"jul","1.1.5","Ակցիզային հարկ",2593.2734,NA
"2013-07-01",2013,"jul","1.1.6","Արտոնագրային հարկ",538.8649099999999,NA
"2013-07-01",2013,"jul","1.1.7","Շրջանառության հարկ",1559.91581,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-07-01",2013,"jul","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",2291.80308,NA
"2013-07-01",2013,"jul","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",965.6016400000004,NA
"2013-07-01",2013,"jul","1.1.10","Մաքսատուրք",4269.2740300000005,NA
"2013-07-01",2013,"jul","1.1.11","Այլ հարկային եկամուտներ",3898.408799999976,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-07-01",2013,"jul","1.2","Սոցիալական վճար",965.63888,NA
"2013-07-01",2013,"jul","1.3","Պետական տուրք",2421.1701,NA
"2013-08-01",2013,"aug","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",86705.25409,NA
"2013-08-01",2013,"aug","1.1","Հարկային եկամուտներ",83690.64649,NA
"2013-08-01",2013,"aug","1.1.1","ԱԱՀ",34581.451909999996,NA
"2013-08-01",2013,"aug","1.1.2","Շահութահարկ",10201.7474,NA
"2013-08-01",2013,"aug","1.1.3","Եկամտահարկ",-167.22342000000006,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-08-01",2013,"aug","1.1.4","Եկամտային հարկ",23128.59827,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-08-01",2013,"aug","1.1.5","Ակցիզային հարկ",2578.33604,NA
"2013-08-01",2013,"aug","1.1.6","Արտոնագրային հարկ",569.24134,NA
"2013-08-01",2013,"aug","1.1.7","Շրջանառության հարկ",1264.3547999999998,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-08-01",2013,"aug","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",2013.53056,NA
"2013-08-01",2013,"aug","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",1042.72863,NA
"2013-08-01",2013,"aug","1.1.10","Մաքսատուրք",4256.44184,NA
"2013-08-01",2013,"aug","1.1.11","Այլ հարկային եկամուտներ",4221.439120000025,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-08-01",2013,"aug","1.2","Սոցիալական վճար",408.82953,NA
"2013-08-01",2013,"aug","1.3","Պետական տուրք",2605.7780700000008,NA
"2013-09-01",2013,"sep","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",84439.51034,NA
"2013-09-01",2013,"sep","1.1","Հարկային եկամուտներ",82445.26015999999,NA
"2013-09-01",2013,"sep","1.1.1","ԱԱՀ",33213.99617,NA
"2013-09-01",2013,"sep","1.1.2","Շահութահարկ",11875.4388,NA
"2013-09-01",2013,"sep","1.1.3","Եկամտահարկ",-227.25872,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-09-01",2013,"sep","1.1.4","Եկամտային հարկ",22462.85735000001,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-09-01",2013,"sep","1.1.5","Ակցիզային հարկ",3108.07031,NA
"2013-09-01",2013,"sep","1.1.6","Արտոնագրային հարկ",691.5767800000001,NA
"2013-09-01",2013,"sep","1.1.7","Շրջանառության հարկ",1158.63241,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-09-01",2013,"sep","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",2033.26513,NA
"2013-09-01",2013,"sep","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",883.7185199999998,NA
"2013-09-01",2013,"sep","1.1.10","Մաքսատուրք",3583.4541999999997,NA
"2013-09-01",2013,"sep","1.1.11","Այլ հարկային եկամուտներ",3661.5092099999833,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-09-01",2013,"sep","1.2","Սոցիալական վճար",-171.55632,NA
"2013-09-01",2013,"sep","1.3","Պետական տուրք",2165.8065,NA
"2013-10-01",2013,"oct","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",85561.07043999998,NA
"2013-10-01",2013,"oct","1.1","Հարկային եկամուտներ",83159.99560999998,NA
"2013-10-01",2013,"oct","1.1.1","ԱԱՀ",36619.46677,NA
"2013-10-01",2013,"oct","1.1.2","Շահութահարկ",7853.282790000001,NA
"2013-10-01",2013,"oct","1.1.3","Եկամտահարկ",-60.90782999999999,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-10-01",2013,"oct","1.1.4","Եկամտային հարկ",22756.78398,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-10-01",2013,"oct","1.1.5","Ակցիզային հարկ",3415.21674,NA
"2013-10-01",2013,"oct","1.1.6","Արտոնագրային հարկ",484.73247,NA
"2013-10-01",2013,"oct","1.1.7","Շրջանառության հարկ",1668.27131,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-10-01",2013,"oct","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",2316.66832,NA
"2013-10-01",2013,"oct","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",788.9314300000001,NA
"2013-10-01",2013,"oct","1.1.10","Մաքսատուրք",3455.6786500000003,NA
"2013-10-01",2013,"oct","1.1.11","Այլ հարկային եկամուտներ",3861.870979999983,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-10-01",2013,"oct","1.2","Սոցիալական վճար",75.76500999999999,NA
"2013-10-01",2013,"oct","1.3","Պետական տուրք",2325.30982,NA
"2013-11-01",2013,"nov","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",86794.95246,NA
"2013-11-01",2013,"nov","1.1","Հարկային եկամուտներ",81771.73751,NA
"2013-11-01",2013,"nov","1.1.1","ԱԱՀ",33361.54587,NA
"2013-11-01",2013,"nov","1.1.2","Շահութահարկ",8898.925770000002,NA
"2013-11-01",2013,"nov","1.1.3","Եկամտահարկ",-150.10627000000002,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-11-01",2013,"nov","1.1.4","Եկամտային հարկ",24622.49077,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-11-01",2013,"nov","1.1.5","Ակցիզային հարկ",2861.10417,NA
"2013-11-01",2013,"nov","1.1.6","Արտոնագրային հարկ",489.22577999999993,NA
"2013-11-01",2013,"nov","1.1.7","Շրջանառության հարկ",1380.32501,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-11-01",2013,"nov","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",3203.97375,NA
"2013-11-01",2013,"nov","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",878.8749300000002,NA
"2013-11-01",2013,"nov","1.1.10","Մաքսատուրք",2931.1884099999997,NA
"2013-11-01",2013,"nov","1.1.11","Այլ հարկային եկամուտներ",3294.1893199999977,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-11-01",2013,"nov","1.2","Սոցիալական վճար",2405.8771,NA
"2013-11-01",2013,"nov","1.3","Պետական տուրք",2617.33785,NA
"2013-12-01",2013,"dec","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",86599.1636,NA
"2013-12-01",2013,"dec","1.1","Հարկային եկամուտներ",83220.11926,NA
"2013-12-01",2013,"dec","1.1.1","ԱԱՀ",30225.46393,NA
"2013-12-01",2013,"dec","1.1.2","Շահութահարկ",10764.61109,NA
"2013-12-01",2013,"dec","1.1.3","Եկամտահարկ",-37.27269,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-12-01",2013,"dec","1.1.4","Եկամտային հարկ",26212.00812,"Այս ցուցանիշի աճի տեմպը հաշվարկվում է, որպես հաշվետու ժամանակաշրջանի եկամտային հարկի, եկամտահարկի, պարտադիր սոցիալական վճարների գումարների հարաբերություն  նախորդ տարվա նույն ժամանակաշրջանի եկամտահարկի, պարտադիր սոցիալական վճարների գումարների նկատմամբ:"
"2013-12-01",2013,"dec","1.1.5","Ակցիզային հարկ",2662.00369,NA
"2013-12-01",2013,"dec","1.1.6","Արտոնագրային հարկ",604.6538700000001,NA
"2013-12-01",2013,"dec","1.1.7","Շրջանառության հարկ",1226.9761999999998,"Աճի տեմպ սյուները չեն  լրացվում"
"2013-12-01",2013,"dec","1.1.8","Ծխախոտի արտադրանքի համար հաստատագրված վճար",5796.36999,NA
"2013-12-01",2013,"dec","1.1.9","""Հաստատագրված վճարի մասին"" ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճար",701.9899700000001,NA
"2013-12-01",2013,"dec","1.1.10","Մաքսատուրք",2365.85439,NA
"2013-12-01",2013,"dec","1.1.11","Այլ հարկային եկամուտներ",2697.460700000011,"Այլ հարկային եկամուտներում ներառված են` գույքահարկը և հողի հարկը (պետական բյուջե հաշվեգրվող),, բնապահպանական և բնօգտագործման պարտադիր վճարները,  ճանապարհային վճարները,պարզեցված հարկը, հանրային ծառայությունների կարգավորման պարտադիր վճարները,  «Հարկերի մասին» ՀՀ օրենքով սահմանված տուգանքները (26,27, 28,30, 31 հոդվածների մասով), բենզինի և դիզելային վառելիքի հաստատագրված վճարը, ՀՀ տարածք ներմուծվող ԱՏԳ ԱԱ 2208 ապրանքային ծածկագրին դասվող օղիների համար քվոտան:"
"2013-12-01",2013,"dec","1.2","Սոցիալական վճար",90.73001,NA
"2013-12-01",2013,"dec","1.3","Պետական տուրք",3288.3143300000006,NA
"2014-01-01",2014,"jan","1","Ընդամենը վճարված հարկային եկամուտներ և պետական տուրք",73083.02103,NA
"2014-01-01",2014,"jan","1.1","Հարկային եկամուտներ",71016.14284,NA
"2014-01-01",2014,"jan","1.1.1","ԱԱՀ",35041.10273,NA
"2014-01-01",2014,"jan","1.1.2","Շահութահարկ",4001.39339,NA
"2014-01-01",2014,"jan","1.1.3","Եկամտային հարկ",19577.85013,"Ներառված են նաև եկամտահարկից և պարտադիր սոցիալական ապահովության վճարներից եկամուտները:"
"2014-01-01",2014,"jan","1.1.4","Ակցիզային հարկ",2487.7254900000003,NA
"2014-01-01",2014,"jan","1.1.5","Շրջանառության հարկ",1572.5931400000002,NA
"2014-01-01",2014,"jan","1.1.6","Արտոնագրային հարկ",482.9602900000001,NA
"2014-01-01",2014,"jan","1.1.7","«Հաստատագրված վճարների մասին» ՀՀ օրենքով սահմանված գործունեության տեսակներից հաստատագրված վճարները",487.74936000000025,NA
"2014-01-01",2014,"jan","1.1.8","Մաքսատուրք",2808.30858,NA
